Tiempo_s,Senal_Original
0,0.900978168498167
0.000125,0.117681465201464
0.00025,-0.852574945054946
0.000375,-0.833234285714287
0.0005,0.130575238095237
0.000625,0.949329816849816
0.00075,0.688230915750915
0.000875,-0.365835018315019
0.001,-1.00085333333333
0.001125,-0.491549304029305
0.00125,0.568963516483516
0.001375,1.00654593406593
0.0015,0.258707106227105
0.001625,-0.769571282051283
0.00175,-0.907373479853481
0.001875,-0.0120621245421257
0.002,0.887278534798534
0.002125,0.784934212454211
0.00225,-0.240926593406595
0.002375,-0.971842344322345
0.0025,-0.607593260073261
0.002625,0.462589890109889
0.00275,1.00009904761905
0.002875,0.390868278388277
0.003,-0.674479706959708
0.003125,-0.954113406593408
0.00325,-0.148252600732602
0.003375,0.836509304029303
0.0035,0.849403076923076
0.003625,-0.104736117216119
0.00375,-0.942025494505496
0.003875,-0.700267252747254
0.004,0.348963516483515
0.004125,1.00009904761905
0.00425,0.511747399267398
0.004375,-0.563270915750917
0.0045,-0.975871648351649
0.004625,-0.261878974358975
0.00475,0.752699780219779
0.004875,0.913066080586079
0.005,0.059659487179486
0.005125,-0.885615238095239
0.00525,-0.79616468864469
0.005375,0.217608205128204
0.0055,0.975117362637361
0.005625,0.617315164835164
0.00575,-0.448032820512822
0.005875,-0.991988864468865
0.006,-0.401292893772895
0.006125,0.647937875457874
0.00625,0.974311501831501
0.006375,0.161197948717948
0.0065,-0.810670183150184
0.006625,-0.864662857142858
0.00675,0.0830294505494495
0.006875,0.932406739926739
0.007,0.720465347985347
0.007125,-0.318289230769232
0.00725,-0.991988864468865
0.007375,-0.53667750915751
0.0075,0.542370109890109
0.007625,0.990428717948717
0.00775,0.30383531135531
0.007875,-0.738142710622712
0.008,-0.935578608058609
0.008125,-0.0539668864468874
0.00825,0.881637509157508
0.008375,0.801857289377288
0.0085,-0.191769084249085
0.008625,-0.974259926739928
0.00875,-0.630157362637364
0.008875,0.429549597069596
0.009,1.0379745054945
0.009125,0.427937875457875
0.00925,-0.642245274725276
0.009375,-0.977483369963371
0.0095,-0.162758095238096
0.009625,0.806692454212453
0.00975,0.882443369963369
0.009875,-0.0217324542124553
0.01,-0.927520000000001
0.010125,-0.734113406593408
0.01025,0.307058754578753
0.010375,0.988011135531135
0.0105,0.539952527472527
0.010625,-0.52620131868132
0.01075,-0.991183003663005
0.010875,-0.315871648351649
0.011,0.716436043956043
0.011125,0.932406739926739
0.01125,0.0870587545787536
0.011375,-0.860633553113554
0.0115,-0.815505347985349
0.011625,0.178121025641024
0.01175,0.970282197802197
0.011875,0.655190622710622
0.012,-0.401292893772895
0.012125,-1.00810608058608
0.01225,-0.437556630036631
0.012375,0.621344468864468
0.0125,0.990428717948717
0.012625,0.221637509157508
0.01275,-0.794552967032968
0.012875,-0.874333186813188
0.013,0.0209781684981674
0.013125,0.91387194139194
0.01325,0.752699780219779
0.013375,-0.259461391941393
0.0135,-0.987959560439561
0.013625,-0.560853333333334
0.01375,0.514970842490841
0.013875,0.980758388278387
0.014,0.355410402930402
0.014125,-0.650303882783884
0.01425,-0.9460547985348
0.014375,-0.108765421245423
0.0145,0.851820659340659
0.014625,0.82361553113553
0.01475,-0.14664087912088
0.014875,-0.971036483516485
0.015,-0.679314871794873
0.015125,0.329622857142856
0.01525,0.98317597069597
0.015375,0.472260219780219
0.0155,-0.589058461538463
0.015625,-0.971036483516485
0.01575,-0.241732454212455
0.015875,0.774458021978021
0.016,0.90339575091575
0.016125,0.00324923076922934
0.01625,-0.898509010989012
0.016375,-0.769571282051283
0.0165,0.250648498168497
0.016625,0.988011135531135
0.01675,0.589915897435896
0.016875,-0.480267252747254
0.017,-1.04436981684982
0.017125,-0.385981538461539
0.01725,0.685007472527472
0.017375,0.956582564102563
0.0175,0.141051428571428
0.017625,-0.819534652014653
0.01775,-0.848545641025642
0.017875,0.117681465201464
0.018,0.945300512820512
0.018125,0.689036776556776
0.01825,-0.35697054945055
0.018375,-0.994406446886448
0.0185,-0.485102417582419
0.018625,0.577827985347984
0.01875,0.977534945054944
0.018875,0.272406739926739
0.019,-0.75667750915751
0.019125,-0.911402783882785
0.01925,-0.0136738461538473
0.019375,0.897754725274724
0.0195,0.788963516483515
0.019625,-0.224003516483518
0.01975,-0.983930256410257
0.019875,-0.6067873992674
0.02,0.465007472527471
0.020125,1.00412835164835
0.02025,0.414238241758241
0.020375,-0.668032820512821
0.0205,-0.959754432234433
0.020625,-0.140193992673994
0.02075,0.835703443223442
0.020875,0.854238241758241
0.021,-0.0870071794871805
0.021125,-0.943637216117217
0.02125,-0.70590827838828
0.021375,0.33365216117216
0.0215,0.991234578754578
0.021625,0.520611868131867
0.02175,-0.551183003663005
0.021875,-0.993600586080587
0.022,-0.287666520146521
0.022125,0.727718095238094
0.02225,0.910648498168497
0.022375,0.0233957509157499
0.0225,-0.837263589743591
0.022625,-0.798582271062272
0.02275,0.201490989010988
0.022875,0.971893919413918
0.023,0.629403076923076
0.023125,-0.437556630036631
0.02325,-1.00004747252747
0.023375,-0.427080439560441
0.0235,0.640685128205127
0.023625,0.969476336996336
0.02375,0.177315164835164
0.023875,-0.800999853479855
0.024,-0.871915604395605
0.024125,0.0701356776556765
0.02425,0.932406739926739
0.024375,0.720465347985347
0.0245,-0.315065787545789
0.024625,-0.994406446886448
0.02475,-0.535065787545789
0.024875,0.532699780219779
0.025,1.00009904761905
0.025125,0.30383531135531
0.02525,-0.715578608058609
0.025375,-0.939607912087913
0.0255,-0.0692782417582427
0.025625,0.880025787545787
