Tiempo_s,Senal_Original,Senal_Procesada
0,1.30491509157509,1.17761339106874
0.000125,0.13399934065934,-0.120729782778826
0.00025,0.229896776556776,-0.0338996136340077
0.000375,0.261325347985347,-0.021985459896588
0.0005,0.448285054945055,0.127224316838521
0.000625,0.616709963369963,0.228227614403398
0.00075,0.776270402930402,0.296532635171959
0.000875,0.955977362637362,0.362741170237304
0.001,1.13487846153846,0.40663909652841
0.001125,1.23722278388278,0.362660656614954
0.00125,1.32828505494505,0.306335975852312
0.001375,1.39839494505494,0.231823505595839
0.0015,1.42498835164835,0.12314059999193
0.001625,1.47656344322344,0.0501970715988538
0.00175,1.47334,-0.064466019508485
0.001875,1.47172827838828,-0.160127295135235
0.002,1.4548052014652,-0.253753458152707
0.002125,1.42418249084249,-0.342360615333373
0.00225,1.36051948717949,-0.442409610408284
0.002375,1.19290043956044,-0.613512309350361
0.0025,1.00191142857143,-0.765971570531541
0.002625,0.804475531135531,-0.884338623207413
0.00275,0.619127545787546,-0.955045313960094
0.002875,0.355611062271062,-1.06598866292817
0.003,0.156563443223443,-1.07767583000576
0.003125,-0.112594065934066,-1.12845843095873
0.00325,-0.299553772893773,-1.07129446002219
0.003375,-0.384169157509158,-0.907720566482033
0.0035,-0.484901758241759,-0.766190047845551
0.003625,-0.660579413919414,-0.697223495251526
0.00375,-0.921678315018315,-0.697042751755661
0.003875,-1.11266732600733,-0.611464170187587
0.004,-1.16907758241758,-0.398749597088638
0.004125,-1.29640358974359,-0.27110481905983
0.00425,-1.46563435897436,-0.188284360540691
0.004375,-1.49383948717949,0.0221341524429388
0.0045,-1.46079919413919,0.260899679268203
0.004625,-1.40358307692308,0.48492798546078
0.00475,-1.37215450549451,0.647501982734976
0.004875,-1.22709956043956,0.882409869001332
0.005,-1.07720945054945,1.07299108628566
0.005125,-1.05303362637363,1.10517127876977
0.00525,-0.948271721611722,1.19288788333823
0.005375,-0.898308351648352,1.20085692304766
0.0055,-0.738747912087912,1.2908601375674
0.005625,-0.5662936996337,1.35736675935141
0.00575,-0.206879780219781,1.55909956955314
0.005875,0.0727539194139191,1.62474529415704
0.006,0.350775897435897,1.64699032584607
0.006125,0.625574432234432,1.63004208057949
0.00625,1.02125208791209,1.69146391013521
0.006375,1.1381019047619,1.45271719606663
0.0065,1.29282717948718,1.2577975726349
0.006625,1.40887113553114,1.03132530952546
0.00675,1.44916417582418,0.748344347062967
0.006875,1.47575758241758,0.479313474300957
0.007,1.4507758974359,0.191460840312663
0.007125,1.31458542124542,-0.160878219163482
0.00725,1.20660007326007,-0.433676178664184
0.007375,1.06396271062271,-0.693326047641154
0.0075,0.777076263736263,-1.03600970628168
